"Application","Legacy Path","Supported Since","Discussion","Notes"

"Anki","~/Anki ~/Documents/Anki","","[83] [84]","$ anki -b ""$XDG_DATA_HOME""/Anki"
"coreutils","~/.dircolors","","","$ eval $(dircolors ""$XDG_CONFIG_HOME""/dircolors)"
"Go","~/go","[108]","","$ export GOPATH=""$XDG_DATA_HOME""/go"

"bazaar","~/.bazaar ~/.bzr.log","2.3.0","[87]","Discussion in upstream bug states that bazaar will use ~/.config/bazaar if it exists. The logfile ~/.bzr.log might still be written."
"buchhaltung-gitAUR","~/.buchhaltung","","[88]","$ export BUCHHALTUNG=""$XDG_CONFIG_HOME""/buchhaltung"
"Ruby#Bundler","~/.bundle","","[89] [90]","$ export BUNDLE_USER_CONFIG=""$XDG_CONFIG_HOME""/bundle BUNDLE_USER_CACHE=""$XDG_CACHE_HOME""/bundle BUNDLE_USER_PLUGIN=""$XDG_DATA_HOME""/bundle"
"ccache","~/.ccache","","","$ export CCACHE_CONFIGPATH=""$XDG_CONFIG_HOME""/ccache.config $ export CCACHE_DIR=""$XDG_CACHE_HOME""/ccache"
"chez-schemeAUR","~/.chezscheme_history","","","$ petite --eehistory ""$XDG_DATA_HOME""/chezscheme/history"
"Chromium","~/.chromium ~/.pki","23057","[95] [96] [97]",""
"clusterssh","~/.clusterssh/","","","$ alias cssh=""cssh --config-file '$XDG_CONFIG_HOME/clusterssh/config'"" $XDG_CONFIG_HOME/clusterssh/config extra_cluster_file=$HOME/.config/clusterssh/clusters extra_tag_file=$HOME/.config/clusterssh/tags Despite this, clusterssh will still create ~/.clusterssh/."
"dict","~/.dictrc","","","$ dict -c ""$XDG_CONFIG_HOME""/dict/dictrc"
"docker-machine","~/.docker/machine","","","$ export MACHINE_STORAGE_PATH=""$XDG_DATA_HOME""/docker-machine"
"DOSBox","~/.dosbox/dosbox-0.74-2.conf","","[100]","$ dosbox -conf ""$XDG_CONFIG_HOME""/dosbox/dosbox.conf"
"elixir","~/.mix","afaf889","[101] [102]","Elixir do not fully conform to XDG specs, it will use XDG only if the environment variables are present, otherwise it will by default use legacy path."
"emscripten","~/.emscripten ~/.emscripten_sanity ~/.emscripten_ports ~/.emscripten_cache__last_clear","","[103]","$ export EM_CONFIG=""$XDG_CONFIG_HOME""/emscripten/config $ export EM_CACHE=""$XDG_CACHE_HOME""/emscripten/cache $ export EM_PORTS=""$XDG_DATA_HOME""/emscripten/cache $ emcc --em-config ""$XDG_CONFIG_HOME""/emscripten/config --em-cache ""$XDG_CACHE_HOME""/emscripten/cache"
"freecadAUR","~/.FreeCAD","","[104]","$ freecad -u ""$XDG_CONFIG_HOME""/FreeCAD/user.cfg -s ""$XDG_CONFIG_HOME""/FreeCAD/system.cfg Despite these options, freecadAUR will still create the file .FreeCAD/cookie as the web module has it hard coded"
"get_iplayerAUR","~/.get_iplayer","","","$ export GETIPLAYERUSERPREFS=""$XDG_DATA_HOME""/get_iplayer"
"getmail","~/.getmail/getmailrc","","","$ getmail --rcfile=""$XDG_CONFIG_HOME/getmail/getmailrc"" --getmaildir=""$XDG_DATA_HOME/getmail"""
"glivAUR","~/.glivrc","","","$ gliv --glivrc=""$XDG_CONFIG_HOME""/gliv/glivrc"
"GNURadio","~/.gnuradio","","[105]",""
"GnuPG","~/.gnupg","","[106] [107]","$ export GNUPGHOME=""$XDG_DATA_HOME""/gnupg $ gpg2 --homedir ""$XDG_DATA_HOME""/gnupg Note that this currently does not work out-of-the-box using systemd user units and socket-based activation, since the socket directory changes based on the hash of $GNUPGHOME. You can get the new socket directory using gpgconf --dry-run --create-socketdir, and have to modify the systemd user units to listen on the correct sockets accordingly."
"Google Earth","~/.googleearth","","","Some paths can be changed with the KMLPath and CachePath options in ~/.config/Google/GoogleEarthPlus.conf"
"gopass","~/.password-store","","","Override settings in ~/.config/gopass/config.yml: ~/.config/gopass/config.yml root: path: gpgcli-gitcli-fs+file:///home/<userid>/.config/password-store"
"GQ LDAP client","~/.gq ~/.gq-state","1.51","","$ export GQRC=""$XDG_CONFIG_HOME""/gqrc $ export GQSTATE=""$XDG_DATA_HOME""/gq/gq-state $ mkdir -p ""$(dirname ""$GQSTATE"")"""
"ipython/jupyter","~/.ipython","","won't fix,won't fix","$ export IPYTHONDIR=""$XDG_CONFIG_HOME""/jupyter $ export JUPYTER_CONFIG_DIR=""$XDG_CONFIG_HOME""/jupyter"
"irb","~/.irbrc","","","~/.profile $ export IRBRC=""$XDG_CONFIG_HOME""/irb/irbrc ""$XDG_CONFIG_HOME""/irb/irbrc IRB.conf[:SAVE_HISTORY] ||= 1000 IRB.conf[:HISTORY_FILE] ||= File.join(ENV[""XDG_DATA_HOME""], ""irb"", ""history"")"
"irssi","~/.irssi","","[111]","$ irssi --config=""$XDG_CONFIG_HOME""/irssi/config --home=""$XDG_DATA_HOME""/irssi"
"Java#OpenJDK","~/.java/.userPrefs","","[112]","$ export _JAVA_OPTIONS=-Djava.util.prefs.userRoot=""$XDG_CONFIG_HOME""/java"
"ledger","~/.ledgerrc, ~/.pricedb","","[114]","$ ledger --init-file ""$XDG_CONFIG_HOME""/ledgerrc"
"libdvdcss","~/.dvdcss","","[115]","$ export DVDCSS_CACHE=""$XDG_DATA_HOME""/dvdcss"
